title,author,average_rating,num_ratings,book_link
Pride and Prejudice,Jane Austen,4.29,4611071,https://www.goodreads.com/book/show/1885.Pride_and_Prejudice
"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,3.67,2803296,https://www.goodreads.com/book/show/10818853-fifty-shades-of-grey
"Beautiful Disaster (Beautiful, #1)",Jamie McGuire,really,703537,https://www.goodreads.com/book/show/11505797-beautiful-disaster
"Twilight (The Twilight Saga, #1)",Stephenie Meyer,3.67,7103618,https://www.goodreads.com/book/show/41865.Twilight
"The Notebook (The Notebook, #1)",Nicholas Sparks,4.16,1804785,https://www.goodreads.com/book/show/33648131-the-notebook
"Perfect Chemistry (Perfect Chemistry, #1)",Simone Elkeles,4.04,262619,https://www.goodreads.com/book/show/4268157-perfect-chemistry
"Outlander (Outlander, #1)",Diana Gabaldon,4.26,1129406,https://www.goodreads.com/book/show/10964.Outlander
Jane Eyre,Charlotte Brontë,4.15,2252243,https://www.goodreads.com/book/show/10210.Jane_Eyre
"Thoughtless (Thoughtless, #1)",S.C. Stephens,4.08,141546,https://www.goodreads.com/book/show/13517535-thoughtless
"Bared to You (Crossfire, #1)",Sylvia Day,4.13,544962,https://www.goodreads.com/book/show/20448515-bared-to-you
Gone with the Wind,Margaret Mitchell,4.31,1256399,https://www.goodreads.com/book/show/18405.Gone_with_the_Wind
"Easy (Contours of the Heart, #1)",Tammara Webber,4.07,228700,https://www.goodreads.com/book/show/16056408-easy
"Gabriel's Inferno (Gabriel's Inferno, #1)",Sylvain Reynard,3.98,160547,https://www.goodreads.com/book/show/10140661-gabriel-s-inferno
The Time Traveler's Wife,Audrey Niffenegger,really,1841053,https://www.goodreads.com/book/show/18619684-the-time-traveler-s-wife
"Slammed (Slammed, #1)",Colleen Hoover,4.15,431791,https://www.goodreads.com/book/show/30333938-slammed
"Anna and the French Kiss (Anna and the French Kiss, #1)",Stephanie Perkins,3.96,462385,https://www.goodreads.com/book/show/6936382-anna-and-the-french-kiss
A Walk to Remember,Nicholas Sparks,4.20,836739,https://www.goodreads.com/book/show/35545737-a-walk-to-remember
"Vampire Academy (Vampire Academy, #1)",Richelle Mead,4.10,672551,https://www.goodreads.com/book/show/345627.Vampire_Academy
Wuthering Heights,Emily Brontë,3.90,1951729,https://www.goodreads.com/book/show/6185.Wuthering_Heights
"Dark Lover (Black Dagger Brotherhood, #1)",J.R. Ward,4.16,349712,https://www.goodreads.com/book/show/42899.Dark_Lover
The Fault in Our Stars,John Green,4.13,5561402,https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars
"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick,3.92,734500,https://www.goodreads.com/book/show/6339664-hush-hush
Persuasion,Jane Austen,4.15,750329,https://www.goodreads.com/book/show/2156.Persuasion
Sense and Sensibility,Jane Austen,4.09,1262329,https://www.goodreads.com/book/show/14935.Sense_and_Sensibility
"The Host (The Host, #1)",Stephenie Meyer,3.86,1038679,https://www.goodreads.com/book/show/1656001.The_Host
"Divergent (Divergent, #1)",Veronica Roth,4.14,4274405,https://www.goodreads.com/book/show/13335037-divergent
"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,4.07,2123347,https://www.goodreads.com/book/show/256683.City_of_Bones
"Obsidian (Lux, #1)",Jennifer L. Armentrout,4.13,292844,https://www.goodreads.com/book/show/12578077-obsidian
"Love Unscripted (Love, #1)",Tina Reber,4.02,68266,https://www.goodreads.com/book/show/8204005-love-unscripted
"On the Island (On the Island, #1)",Tracey Garvis Graves,4.11,86388,https://www.goodreads.com/book/show/15505346-on-the-island
"Hopeless (Hopeless, #1)",Colleen Hoover,4.23,654577,https://www.goodreads.com/book/show/15717943-hopeless
Memoirs of a Geisha,Arthur Golden,4.16,2078803,https://www.goodreads.com/book/show/929.Memoirs_of_a_Geisha
"On Dublin Street (On Dublin Street, #1)",Samantha Young,4.15,203481,https://www.goodreads.com/book/show/15760001-on-dublin-street
"Shiver (The Wolves of Mercy Falls, #1)",Maggie Stiefvater,3.76,492985,https://www.goodreads.com/book/show/6068551-shiver
"Halfway to the Grave (Night Huntress, #1)",Jeaniene Frost,4.13,162950,https://www.goodreads.com/book/show/1421990.Halfway_to_the_Grave
Water for Elephants,Sara Gruen,4.11,1678208,https://www.goodreads.com/book/show/43641.Water_for_Elephants
"The Bronze Horseman (The Bronze Horseman, #1)",Paullina Simons,4.29,92201,https://www.goodreads.com/book/show/41014505-the-bronze-horseman
The Truth About Forever,Sarah Dessen,4.12,225471,https://www.goodreads.com/book/show/51737.The_Truth_About_Forever
"It Had to Be You (Chicago Stars, #1)",Susan Elizabeth Phillips,really,68920,https://www.goodreads.com/book/show/73070.It_Had_to_Be_You
Kiss an Angel,Susan Elizabeth Phillips,4.17,68615,https://www.goodreads.com/book/show/73086.Kiss_an_Angel
"Reason to Breathe (Breathing, #1)",Rebecca    Donovan,4.21,94803,https://www.goodreads.com/book/show/11561469-reason-to-breathe
Emma,Jane Austen,4.05,946191,https://www.goodreads.com/book/show/6969.Emma
"The Edge of Never (The Edge of Never, #1)",J.A. Redmerski,4.22,149716,https://www.goodreads.com/book/show/16081272-the-edge-of-never
"Flat-Out Love (Flat-Out Love, #1)",Jessica Park,really,60152,https://www.goodreads.com/book/show/15994590-flat-out-love
"Leaving Paradise (Leaving Paradise, #1)",Simone Elkeles,3.99,43972,https://www.goodreads.com/book/show/544424.Leaving_Paradise
"A Kingdom of Dreams (Westmoreland, #1)",Judith McNaught,4.20,55630,https://www.goodreads.com/book/show/129619.A_Kingdom_of_Dreams
"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,4.31,864981,https://www.goodreads.com/book/show/7171637-clockwork-angel
This Lullaby,Sarah Dessen,4.01,180339,https://www.goodreads.com/book/show/22205.This_Lullaby
"Matched (Matched, #1)",Ally Condie,3.62,808538,https://www.goodreads.com/book/show/7735333-matched
Romeo and Juliet,William Shakespeare,3.74,2760503,https://www.goodreads.com/book/show/18135.Romeo_and_Juliet
"The Vincent Boys (The Vincent Boys, #1)",Abbi Glines,3.94,75039,https://www.goodreads.com/book/show/12900174-the-vincent-boys
Just the Sexiest Man Alive,Julie James,3.91,45450,https://www.goodreads.com/book/show/3863861-just-the-sexiest-man-alive
"Something About You (FBI/US Attorney, #1)",Julie James,3.94,63378,https://www.goodreads.com/book/show/6642402-something-about-you
"The Summer I Turned Pretty (Summer, #1)",Jenny Han,3.75,987078,https://www.goodreads.com/book/show/5821978-the-summer-i-turned-pretty
"The DUFF: Designated Ugly Fat Friend (Hamilton High, #1)",Kody Keplinger,3.79,195399,https://www.goodreads.com/book/show/6931356-the-duff
"The Bride (Lairds' Fiancées, #1)",Julie Garwood,4.22,69503,https://www.goodreads.com/book/show/107779.The_Bride
Along for the Ride,Sarah Dessen,4.03,210941,https://www.goodreads.com/book/show/5664985-along-for-the-ride
"Call Me Irresistible (Wynette, Texas, #6)",Susan Elizabeth Phillips,4.10,25529,https://www.goodreads.com/book/show/8437379-call-me-irresistible
"Mystery Man (Dream Man, #1)",Kristen Ashley,4.20,73482,https://www.goodreads.com/book/show/18819167-mystery-man
"Significance (Significance, #1)",Shelly Crane,4.09,45513,https://www.goodreads.com/book/show/16282066-significance
Bet Me,Jennifer Crusie,3.94,94663,https://www.goodreads.com/book/show/854757.Bet_Me
"Breathe (Sea Breeze, #1)",Abbi Glines,3.85,84026,https://www.goodreads.com/book/show/11479285-breathe
"Natural Born Charmer (Chicago Stars, #7)",Susan Elizabeth Phillips,4.15,37440,https://www.goodreads.com/book/show/73064.Natural_Born_Charmer
Forbidden,Tabitha Suzuma,3.96,75244,https://www.goodreads.com/book/show/7600924-forbidden
"Lover Eternal (Black Dagger Brotherhood, #2)",J.R. Ward,4.32,199577,https://www.goodreads.com/book/show/35729.Lover_Eternal
"Shatter Me (Shatter Me, #1)",Tahereh Mafi,3.84,1137856,https://www.goodreads.com/book/show/10429045-shatter-me
Can You Keep a Secret?,Sophie Kinsella,3.82,467869,https://www.goodreads.com/book/show/33724.Can_You_Keep_a_Secret_
"Me Before You (Me Before You, #1)",Jojo Moyes,4.26,1757229,https://www.goodreads.com/book/show/17347634-me-before-you
The Thorn Birds,Colleen McCullough,4.25,360570,https://www.goodreads.com/book/show/3412.The_Thorn_Birds
"Naked in Death (In Death, #1)",J.D. Robb,4.13,201176,https://www.goodreads.com/book/show/479309.Naked_in_Death
"Sugar Daddy (Travises, #1)",Lisa Kleypas,4.01,45817,https://www.goodreads.com/book/show/306364.Sugar_Daddy
"The Gamble (Colorado Mountain, #1)",Kristen Ashley,4.25,60608,https://www.goodreads.com/book/show/75946108-the-gamble
"This Heart of Mine (Chicago Stars, #5)",Susan Elizabeth Phillips,4.08,32766,https://www.goodreads.com/book/show/73100.This_Heart_of_Mine
Ain't She Sweet?,Susan Elizabeth Phillips,4.08,26177,https://www.goodreads.com/book/show/373606.Ain_t_She_Sweet_
The Sweet Gum Tree,Katherine Allred,4.25,31075,https://www.goodreads.com/book/show/2761356-the-sweet-gum-tree
"Wallbanger (Cocktail, #1)",Alice Clayton,3.98,211122,https://www.goodreads.com/book/show/15858248-wallbanger
Going Too Far,Jennifer Echols,3.92,38336,https://www.goodreads.com/book/show/4570679-going-too-far
